#domain,#severity,#reject_media,#reject_reports,#public_comment,#obfuscate
shigusegubu.club,suspend,false,false,Harassment,false
shitpisscum.mooo.com,suspend,false,false,harassment + bigotry,false
shitpost.cloud,suspend,false,false,Racism + alt-right,false
shitposter.club,suspend,false,false,'Free speech',false
shitpost.poridge.club,suspend,false,false,Free speech,false
shortstackran.ch,suspend,false,false,racism + homophobia,false
shrine.moe,suspend,false,false,Loli + racism,false
skippers-bin.com,suspend,false,false,Lolicon + abusive behaviour,false
slothy.win,suspend,false,false,Soapbox instance + mocking pronouns,false
sneed.shop,suspend,false,false,Racism + antisemitism + fascism,false
sneed.social,suspend,false,false,Racism + antisemitism + fascism,false
social.freetalklive.com,suspend,false,false,Free speech + praising the KKK + antivax + etc.,false
social.getgle.org,suspend,false,false,homophobia,false
social.handholding.io,suspend,false,false,Transphobia + homophobia,false
social.hendrixgames.com,suspend,false,false,Conspiracy theories + alt-right adjacent rhetoric + etc,false
social.librem.one,suspend,false,false,Lack of moderation oversight for harmful ideologies,false
social.lovingexpressions.net,suspend,false,false,transphobia + nazism,false
social.nothingplanet.com,suspend,false,false,Federates with instances that violate our CoC/ToS + such as Gab + Kiwifarms + Spinster.xyz + etc.,false
social.pseudo-whiskey.bar,suspend,false,false,pedophilia,false
social.wideboys.org,suspend,false,false,Racism + homophobia + channer stuff,false
soc.mahodou.moe,suspend,false,false,Slurs,false
solagg.com,suspend,false,false,crypto spam,false
spinster.dev,suspend,false,false,Transphobia/TERFs,false
spinster.xyz,suspend,false,false,Transphobia/TERFs,false
springbo.cc,suspend,false,false,racism + free speech + transphobia,false
strelizia.net,suspend,false,false,Alternative instance to posting.lolicon.rocks + same admin,false
tastingtraffic.net,suspend,false,false,Queerphobia,false
taullo.social,suspend,false,false,hosting pedophilia,false
terrible.place,suspend,false,false,fascism + racism + harrassment,false
the9thcircle.club,suspend,false,false,Spam + friendly with freespeechextremist.xyz,false
the.hedgehoghunter.club,suspend,false,false,Trolling + abusive behaviour,false
theres.life,suspend,false,false,Bigotry + gab/pleroma adjacent,false
toot.canberrasocial.net,suspend,false,false,Racism + free speech instance,false
truthsocial.co.in,suspend,false,false,truthsocial,false
truthsocialpro.org,suspend,false,false,Trump instance,false
tucson.claims,suspend,false,false,"Conspiracy theories, federating with known nazi affiliated instances",false
vuju.com,suspend,false,false,Free speech,false
waha.desupost.soy,suspend,false,false,"Ableism, racism, transmisia",false
vipgirlfriend.xxx,silence,true,false,Un-CWed NSFW,false
sleepy.cafe,suspend,false,false,Transphobia,false
rdrama.cc,suspend,false,false,"Hate speech, ""free speech"", trolling",false
